Kód obce (code),Název obce (location),Počet voličů (registered),Vydané obálky (envelop),Platné hlasy (valid),Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
557587,Blovice,3 361,2 026,2 016,328,2,3,173,2,93,170,33,12,18,2,14,176,1,0,85,582,0,40,0,15,6,10,245,6,-
540463,Bolkov,47,33,33,2,0,0,3,0,0,5,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,5,0,-
566705,Borovno,77,56,56,8,0,0,5,0,4,2,0,0,1,0,0,1,0,0,2,27,0,0,0,0,0,0,4,2,-
542156,Borovy,178,111,111,20,0,0,3,0,5,13,1,0,3,1,0,7,0,0,6,28,0,3,0,1,1,0,19,0,-
546372,Buková,182,125,125,15,0,0,6,0,5,12,0,1,2,0,0,11,0,0,9,42,0,2,0,0,3,0,17,0,-
557641,Čižice,451,340,338,34,0,0,29,0,25,17,3,3,12,0,0,32,0,0,24,108,0,5,0,7,5,2,32,0,-
557650,Čížkov,525,335,334,34,1,0,31,0,23,33,3,2,4,0,0,22,4,0,13,103,0,10,0,2,6,2,40,1,-
578568,Čmelíny,109,61,61,3,0,0,8,0,5,11,0,0,1,0,0,2,0,0,0,23,0,0,0,0,0,0,8,0,-
557668,Dnešice,661,384,383,52,0,0,28,1,37,63,1,1,9,1,0,23,1,0,16,97,1,8,0,0,2,0,39,3,-
557676,Dobřany,5 063,2 870,2 847,321,9,2,230,8,223,253,38,23,53,4,7,268,1,2,102,850,9,82,4,17,10,9,316,6,-
539945,Dolce,241,158,157,20,0,0,15,0,4,20,1,1,5,0,0,6,0,0,10,47,1,5,0,0,0,1,21,0,-
557684,Dolní Lukavice,764,459,459,53,1,3,35,0,25,45,6,5,8,0,0,40,0,0,26,122,1,21,0,0,5,1,62,0,-
540251,Drahkov,106,73,73,6,0,0,4,0,1,11,4,2,0,0,0,6,0,0,4,16,0,0,0,1,0,1,16,1,-
540668,Honezovice,200,108,108,9,0,0,17,0,2,6,2,0,1,0,0,6,0,0,8,41,0,0,0,1,0,0,14,1,-
539821,Horní Lukavice,345,212,211,26,1,0,18,0,13,24,1,1,3,0,2,22,1,0,10,65,1,3,0,3,4,0,13,0,-
557722,Horšice,349,182,182,10,0,1,10,0,6,10,2,2,2,1,0,11,1,0,8,58,0,2,0,4,0,0,50,4,-
557731,Hradec,446,254,251,37,2,0,12,0,14,16,2,0,0,2,1,25,0,0,11,87,1,4,0,2,0,4,31,0,-
557749,Hradiště,182,118,117,9,0,0,6,0,7,16,2,2,2,0,0,6,0,0,9,29,2,8,0,2,0,0,17,0,-
557773,Chlum,190,116,116,16,2,0,13,4,4,7,0,0,3,0,0,5,1,0,1,46,0,2,0,0,1,2,8,1,-
557781,Chlumčany,1 924,1 026,1 020,122,4,0,89,3,51,104,9,6,14,2,3,94,5,0,38,316,4,16,1,5,4,1,125,4,-
540307,Chlumy,84,56,56,2,0,0,7,0,5,5,1,1,0,0,0,3,0,0,2,24,0,1,0,0,0,0,5,0,-
557803,Chocenice,444,279,276,9,0,0,30,1,9,33,3,3,4,0,3,39,0,0,7,78,0,5,0,4,1,2,43,2,-
557838,Chotěšov,2 178,1 167,1 155,113,3,1,98,3,45,117,5,9,15,1,2,92,0,0,30,405,2,25,0,13,4,2,167,3,-
578541,Jarov,203,146,146,8,0,0,18,0,2,15,1,3,1,0,0,10,0,0,4,60,0,3,0,0,2,1,18,0,-
557862,Kasejovice,1 011,629,626,64,2,0,39,1,39,65,1,4,2,0,2,52,0,1,33,224,0,15,0,1,1,4,75,1,-
557871,Kbel,242,163,163,15,0,0,10,1,4,22,2,0,0,2,1,10,0,0,3,63,1,1,0,1,1,0,26,0,-
557897,Klášter,162,98,98,14,0,2,5,0,2,22,7,1,1,0,1,8,0,1,2,21,0,2,0,0,1,0,8,0,-
540633,Kotovice,242,117,117,16,0,0,4,0,4,8,6,1,1,0,0,15,0,0,4,35,0,2,0,0,0,3,16,2,-
540200,Kozlovice,81,48,46,4,1,0,1,0,2,5,1,2,1,0,0,8,0,0,1,10,0,2,0,2,0,1,5,0,-
557943,Kramolín,100,72,71,7,0,0,5,0,4,5,4,0,1,0,1,10,0,0,1,24,0,1,0,2,0,2,3,1,-
557951,Letiny,584,357,356,29,0,0,31,1,19,41,2,3,8,0,0,31,0,0,11,116,1,16,0,2,2,3,38,2,-
540064,Lisov,98,64,64,6,1,0,16,1,3,9,0,2,0,0,0,4,0,0,2,12,0,3,0,0,0,0,5,0,-
540617,Líšina,136,75,74,3,0,0,3,0,7,9,0,0,2,0,0,5,1,0,2,32,0,0,0,0,3,0,6,1,-
558010,Louňová,79,56,56,3,0,0,4,0,0,11,1,1,0,0,0,4,1,0,0,11,0,5,0,0,0,0,15,0,-
558028,Lužany,533,340,339,36,0,0,50,0,11,17,6,3,12,1,0,35,0,0,17,103,1,5,0,1,7,1,32,1,-
539716,Měcholupy,181,107,107,9,0,0,12,0,11,13,1,0,0,0,0,13,0,0,6,28,0,2,0,0,0,2,10,0,-
558044,Merklín,909,524,521,60,2,1,43,3,17,53,15,11,6,1,2,38,0,1,22,167,2,6,0,4,4,2,60,1,-
